Symbol,Date,Close/Last,Open,High,Low
NVDA,17/1/2025,137.71,136.69,138.5,135.46
NVDA,16/1/2025,133.57,138.64,138.75,133.49
NVDA,15/1/2025,136.24,133.65,136.45,131.29
NVDA,14/1/2025,131.76,136.05,136.38,130.05
NVDA,13/1/2025,133.23,129.99,133.49,129.51
NVDA,10/1/2025,135.91,137.45,139.92,134.22
NVDA,8/1/2025,140.11,142.58,143.95,137.56
NVDA,7/1/2025,140.14,153.03,153.13,140.01
NVDA,6/1/2025,149.43,148.59,152.16,147.82
NVDA,3/1/2025,144.47,140.01,144.9,139.73
NVDA,2/1/2025,138.31,136,138.88,134.63
NVDA,31/12/2024,134.29,138.03,138.07,133.83
NVDA,30/12/2024,137.49,134.83,140.27,134.02
NVDA,27/12/2024,137.01,138.55,139.02,134.71
NVDA,26/12/2024,139.93,139.7,140.85,137.73
NVDA,24/12/2024,140.22,140,141.9,138.65
NVDA,23/12/2024,139.67,136.28,139.79,135.12
NVDA,20/12/2024,134.7,129.81,135.28,128.22
NVDA,19/12/2024,130.68,131.76,134.03,129.55
NVDA,18/12/2024,128.91,133.86,136.7,128.28
NVDA,17/12/2024,130.39,129.09,131.59,126.86
NVDA,16/12/2024,132,134.18,134.4,130.42
NVDA,13/12/2024,134.25,138.94,139.6,132.54
NVDA,12/12/2024,137.34,137.08,138.44,135.8
NVDA,11/12/2024,139.31,137.36,140.17,135.21
NVDA,10/12/2024,135.07,139.01,141.82,133.79
NVDA,9/12/2024,138.81,138.97,139.95,137.13
NVDA,6/12/2024,142.44,144.6,145.7,141.31
NVDA,5/12/2024,145.06,145.11,146.54,143.95
NVDA,4/12/2024,145.14,142,145.79,140.29
NVDA,3/12/2024,140.26,138.26,140.54,137.95
NVDA,2/12/2024,138.63,138.83,140.45,137.83
NVDA,29/11/2024,138.25,136.78,139.35,136.05
NVDA,27/11/2024,135.34,135.01,137.22,131.8
NVDA,26/11/2024,136.92,137.7,139.3,135.67
NVDA,25/11/2024,136.02,141.99,142.05,135.82
NVDA,22/11/2024,141.95,145.93,147.16,141.1
NVDA,21/11/2024,146.67,149.35,152.89,140.7
NVDA,20/11/2024,145.89,147.41,147.56,142.73
NVDA,19/11/2024,147.01,141.32,147.13,140.99
